# This file was generated with the ref_galactic_fk4.py script, and the reference values were computed using AST,,,,,,
equinox_fk4,obstime,lon_in,lat_in,ra_fk4,dec_fk4,lon_gal,lat_gal
J1998.36,B1995.95,334.6617934,43.93851166,215.7298852,-13.21196233,95.99163361,-10.79235994
J2021.64,B1954.56,113.8951996,-14.11098326,0.019171343,47.95849468,230.3543074,2.910310929
J2020.49,B1953.55,66.2107722,-7.762654202,307.0396671,25.0473934,202.1904598,-36.25110297
J1981.50,B1970.69,73.64170028,41.70061375,249.5524784,47.49016169,163.7382098,-0.997514228
J2001.47,B1960.78,204.3810105,-14.93577432,85.72625078,0.592842446,319.1823436,46.48656996
J2005.96,B1975.98,214.3960931,-66.76484515,38.79748956,-25.31312153,311.2591116,-5.260939595
J2006.23,B1977.93,347.2252271,6.277442178,251.6810676,-35.6975783,82.44391451,-48.37544319
J2007.34,B1973.69,235.1437549,-5.595660039,108.1942715,-22.30321735,0.622684928,37.73760799
J1991.60,B1960.79,269.6063895,26.78231122,159.2658175,-27.24006238,52.45946185,22.73512055
J1980.71,B1961.97,235.2851535,-14.06951569,99.59236646,-26.03297618,353.4215993,31.53386851
J2003.56,B1960.84,269.1773313,42.94726951,168.1943639,-13.37307642,69.48758128,27.71423993
J1990.10,B1982.78,346.070425,-3.518488107,260.5562492,-42.53739805,71.17232548,-55.23182291
J1984.68,B1992.32,3.019787259,7.197321766,261.2230757,-22.51830535,106.3710528,-54.34438144
J2003.24,B1996.52,38.31997561,18.80804898,268.2441559,13.06798842,153.9159776,-37.88613213
J2005.52,B1990.02,107.533337,-4.330886232,345.2767777,55.23034721,218.8810576,2.114609562
J1977.27,B1984.04,236.3080259,14.31625354,126.5585162,-13.18599095,24.40408389,47.36813131
J2024.27,B1960.36,291.5325189,-33.7960784,65.6262289,-78.08277807,4.707151328,-21.12400807
J1980.19,B1987.08,313.9833289,27.75723276,204.3951153,-33.99743836,72.54993411,-11.32614564
J1995.29,B1984.85,347.2731351,-13.68806855,273.8785429,-46.58179896,57.29678462,-62.63628223
J2008.28,B1969.09,260.5267249,-37.61343423,75.54235825,-53.01082132,349.9939493,-0.500521761
J1984.85,B1992.51,231.291118,-27.23714555,84.3750725,-27.2619452,340.3947033,24.11360279
J1987.09,B1976.41,258.2833035,-30.10259338,87.53491079,-50.94131019,355.2167589,5.097690338
J2006.16,B1994.65,168.3356426,-44.0847693,44.00409017,7.58736495,284.8610519,15.34121757
J2014.94,B1991.03,117.2104839,32.87086342,231.9500265,82.36711672,187.3264088,25.46198807
J2002.23,B1961.43,158.2720581,-29.28647199,46.47617614,24.22235088,269.9172767,24.57850349
J1984.88,B1991.03,262.6880698,-48.15164314,57.77555369,-52.50136742,342.2260518,-7.921465284
J2014.21,B1956.93,357.8452509,19.28906779,248.0379906,-19.43406998,103.6723609,-41.37750366
J2015.72,B1974.12,243.6745362,-10.04316781,108.0272535,-31.86324946,2.916191059,28.49595376
J2010.54,B1957.44,284.6961064,19.6051067,170.3404049,-40.09513068,51.22549268,7.336057384
J2022.20,B1972.41,61.52913281,18.640371,277.7301913,33.34161097,174.063893,-24.54127908
J2017.75,B1983.30,9.665739284,-22.90750787,295.1798118,-30.04507647,85.32595718,-84.84661055
J2023.18,B1989.45,288.1332878,-36.69473857,61.70900859,-74.1820685,0.817296879,-19.4797888
J1998.23,B1983.10,325.3401138,-33.77588022,307.312064,-69.6283339,11.66234862,-48.88151873
J1999.25,B1985.58,8.883435755,-49.4693354,325.9657701,-35.61336925,309.6662736,-67.45513989
J2004.32,B1994.40,177.0290346,-67.77552797,31.23726267,-12.96509519,296.9556725,-5.620003468
J2022.10,B1957.08,189.4518602,-68.70719451,33.52936654,-17.12030801,301.5599173,-5.754058019
J1993.61,B1957.38,214.6917638,-32.61606007,73.72247673,-15.60285444,323.5383762,26.69267098
J2004.91,B1966.30,18.70471624,-32.90806206,308.5055643,-25.53734107,263.5470664,-82.3338997
J2005.68,B1951.59,322.2322301,14.46693457,219.5535042,-44.40492649,66.73439797,-25.60908665
J2003.00,B1984.39,262.1758249,51.73199749,169.0032476,-3.429376466,78.88601862,33.56261868
J1980.93,B1988.24,294.6060041,34.01818711,184.7719615,-28.24037115,68.35619688,5.913972266
J1995.15,B1967.50,180.080191,26.2892216,115.6701409,39.4176352,214.4069738,78.61054336
J1986.07,B1980.80,291.6681872,-22.27891672,125.9106527,-78.63788191,16.42723418,-17.56325789
J2014.41,B1997.92,34.54866927,-15.89249061,297.9660815,-5.742760954,188.1038335,-67.13446871
J2013.20,B1964.55,78.82201574,-37.43322681,338.4138654,13.38036925,241.4136332,-34.49572672
J1983.72,B1984.33,93.13886218,60.57314165,215.5152429,51.02591708,153.7886702,19.03045566
J2011.19,B1952.11,168.5180714,7.092293335,86.79601401,42.40957537,249.1257695,59.363924
J2021.23,B1953.13,165.3743529,39.38906868,133.5390162,52.7585932,177.6078171,63.84560655
J1998.80,B1990.72,255.4235209,-17.58810758,104.8614536,-45.30272017,3.928226697,14.64696704
J2020.65,B1971.83,64.09908212,36.82897976,256.3217723,39.91435537,162.0917393,-10.17080065
J1996.87,B1969.60,191.3219584,-52.35320666,47.94555559,-9.26762335,302.0051313,10.49060944
J1978.29,B1966.53,60.38720236,25.10258827,269.5504252,34.40475116,168.6125917,-20.28214063
J1993.19,B1972.88,276.7730106,56.6051138,178.7038266,-3.343453017,85.5633134,25.61947368
J1984.47,B1991.77,334.1413977,37.3852088,218.4794048,-19.07727941,91.96851695,-15.97015808
J1982.42,B1973.34,219.4177169,-20.22903289,87.11095932,-14.60047063,334.4201445,35.92692396
J1985.55,B1971.06,54.06605808,-29.32649339,318.1391036,3.174851464,226.277308,-53.67886447
J2018.98,B1978.54,176.2656133,-0.572718169,83.84918893,31.80616893,269.7955267,58.00460402
J2015.89,B1986.95,135.8441834,-9.949382617,33.53173484,50.93816241,238.4928103,23.36373339
J2006.58,B1952.75,305.4965083,-8.634217466,200.9326676,-71.38151969,35.37326298,-23.95480015
J2022.76,B1981.21,327.9950023,-58.34716599,350.8349647,-54.09015638,335.114902,-45.7512127
J1980.95,B1981.05,138.1855396,11.93379472,58.63152061,69.07115931,218.4474,36.90726094
J2005.11,B1950.06,113.5785252,29.63015831,263.6364622,81.39877735,189.6816889,21.61229279
J1991.57,B1980.14,204.621895,36.52350091,133.6807989,22.04117777,78.8085131,76.27371602
J2016.08,B1952.01,67.61449261,-13.70948367,313.1326201,22.6386092,209.6540201,-37.55336495
J2007.99,B1979.29,45.30295578,36.46390841,253.1154073,25.09614111,150.0865246,-19.5316402
J1996.13,B1972.42,247.5344898,-3.233499525,117.0469288,-32.01741035,11.91077762,29.16641444
J2010.80,B1967.69,287.8584185,26.28256316,176.5282726,-34.71376951,58.56253366,7.686649232
J1985.76,B1996.68,206.4731635,-38.43121307,65.37308742,-11.8626802,314.6624732,23.10671452
J1975.84,B1963.36,350.3627934,-7.516319619,267.8906944,-41.03145218,72.03621144,-61.14851396
J1989.04,B1964.06,228.2595758,40.31100216,144.9506554,6.688107368,66.32085212,57.9479584
J2005.09,B1975.25,319.8318209,40.73377927,206.517019,-20.37287219,85.37651897,-6.191256575
J1998.03,B1982.34,178.3493132,-38.38547106,53.33677314,6.471398703,290.627978,23.08701583
J2010.53,B1998.53,126.5819508,-73.69803377,14.03392861,-10.79899651,287.0630232,-19.67938306
J1983.23,B1951.79,257.1229327,24.01543766,147.5593576,-22.3222385,45.39591066,32.42935155
J2022.01,B1971.16,181.4144819,-17.78582637,71.60654431,17.72057835,287.370199,43.78632898
J2022.77,B1979.42,81.22953835,-9.264501464,319.2193541,35.71511567,211.4134146,-23.65221379
J2024.04,B1986.59,88.19079849,32.42382265,264.4453661,59.50753003,177.6322102,2.82201785
J1977.94,B1958.78,285.408252,67.7826509,186.0066661,5.931762404,98.5359799,24.03692249
J2012.02,B1975.53,178.2620692,51.73276006,149.6160273,42.12936675,143.1898034,62.94494411
J2005.03,B1975.01,329.4337224,-46.8960749,333.5265055,-61.27748585,350.8793428,-50.71026119
J1979.45,B1994.64,340.3338602,36.55608918,223.2923702,-17.15407599,95.92131633,-19.34311271
J2024.47,B1969.13,191.9636027,21.35720197,114.434412,27.50383007,291.7192991,84.2576478
J2002.44,B1983.14,90.89733404,3.445884143,314.9954611,51.31701426,204.3080334,-9.044664718
J2008.72,B1952.34,259.5103409,47.05123879,164.8692622,-6.169939297,73.1223161,35.07768923
J2011.24,B1987.56,132.277955,30.43072329,127.4882553,81.13380001,193.9051721,37.30169294
J2003.42,B1968.44,179.5134394,-54.44865752,42.05264708,-4.918899985,295.1209431,7.627762714
J2001.37,B1997.40,81.56701709,-19.94519445,328.0618373,28.19282522,222.5151519,-27.35780818
J1982.54,B1967.36,127.2836328,-10.09463903,19.64771319,52.44707789,233.9609577,16.545293
J1987.01,B1984.19,234.3066432,-86.44042744,16.47159011,-28.44456086,305.5468267,-24.51353015
J1995.13,B1991.23,112.6558423,11.25215005,339.5277289,71.3900724,207.2063702,13.79395819
J1978.39,B1974.31,276.744761,21.41515771,162.407803,-35.12559837,49.84992338,14.56817797
J2012.92,B1999.21,281.4613572,-15.51189799,128.7417412,-66.97211363,18.36061808,-5.645354694
J1992.13,B1980.19,306.8674139,-11.94673609,207.1233941,-74.33651091,32.83345946,-26.74282189
